Name,City,Rating,Price,Reviews,Location,Cleanliness,Communication,Value for Money,Accuracy,Check-in,Guests,TV,Wifi,Free street parking,Privet parking,Refrigerator,Air conditioning,Kitchen,Pets allowd,Dedicated workspace,Security cameras
Sparkling Clean Master Suite in Beautiful House,Albany,4.83,4453,6,4.7,4.7,4.8,4.3,4.8,4.8,2.0,0,1,0,1,0,0,1,0,1,0
Cozy Private Room in a Residential House in Albany,Albany,5.0,4970,12,4.3,4.9,5.0,4.8,4.8,5.0,2.0,0,0,1,0,0,0,1,0,1,0
"Walk to Hospital, Dining, Park | Long Term Welcome",Albany,4.86,10520,7,4.9,4.9,5.0,4.9,5.0,5.0,2.0,1,1,0,1,0,0,1,1,0,0
★ BEAUTIFUL  2 BED 2 BATH  w/ SOAKER TUB + W/D★,Albany,4.64,18027,42,4.4,4.7,4.7,4.7,4.7,4.8,5.0,0,1,0,1,0,0,1,1,1,0
Lovely 1 Bedroom Unit In Historic Brownstone!,Albany,4.71,9364,42,4.6,4.5,4.9,4.7,4.9,4.9,2.0,1,1,0,0,0,0,1,0,1,0
On a little park in Albany pine hills,Albany,4.78,7248,218,4.9,4.6,4.8,4.8,4.8,4.8,2.0,1,1,0,1,0,0,1,0,0,0
Cozy bedroom with (2) walk-in closets,Albany,4.74,4660,35,4.7,4.7,4.9,4.6,4.8,5.0,2.0,0,1,0,1,0,0,1,0,1,0
Modern Studio Perfect Location Albany,Albany,4.52,5177,23,4.7,4.5,4.9,4.6,4.6,5.0,2.0,0,1,0,0,0,0,1,0,1,0
Bright large 1 bdr loft in Center Sq -free parking,Albany,4.31,14497,26,4.5,4.5,4.4,4.5,4.6,4.3,2.0,1,1,0,1,0,0,1,0,1,0
Parkside Queen 1 Bedroom (1800's) Brownstone!,Albany,4.99,11576,223,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0,1,1,0,0,0,1,0,0,0
★PRIVATE 1 BDRM Newly Renovated Apt W/D Patio★,Albany,4.43,11998,14,4.4,4.6,4.6,4.4,4.4,4.6,2.0,0,1,0,1,0,0,1,1,1,0
Mambo House Downtown Albany Governor's Mansion,Albany,4.2,11763,5,3.8,4.2,4.6,4.2,4.4,4.2,5.0,1,1,0,1,0,1,1,0,0,0
/Miller Colonial\ 1946 SUNY Eagle Hill 5Bed 2Baths,Albany,4.97,25255,63,4.9,4.9,5.0,4.7,5.0,5.0,7.0,0,1,0,0,0,0,1,0,1,0
"Newly renovated,Amazing Location,private parking",Albany,4.84,10251,37,4.7,4.8,5.0,4.7,4.8,5.0,4.0,1,1,0,1,0,0,1,0,1,0
Steps 2 Capital,Albany,4.62,8801,37,4.8,4.8,4.9,4.7,4.8,4.9,2.0,1,1,0,0,0,0,1,0,0,0
Chic & Stylish 2BR with separate entrance downtown,Albany,4.87,8284,15,5.0,4.9,4.9,4.7,4.8,4.8,4.0,1,1,0,1,0,0,1,0,1,0
✪Purified AIR 5 Star Extended Stay✪ Parking,Albany,4.82,15905,34,4.7,4.8,5.0,4.7,4.9,4.6,4.0,1,1,0,1,0,0,1,1,0,0
Historic Queen Studio Across from Washington Park!,Albany,4.98,11576,245,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1,1,0,1,0,0,1,0,0,0
The Rock & Roll Suite,Albany,5.0,6109,5,5.0,5.0,5.0,4.6,5.0,5.0,2.0,0,1,0,1,0,0,1,0,1,0
Center Sq. Loft in Converted Precinct w/ Parking,Albany,4.73,14497,304,4.8,4.7,4.7,4.7,4.8,4.8,2.0,0,1,0,1,0,0,1,0,0,0
Huge Designer 1 bed close to Albany Med,Albany,4.57,8995,21,4.8,4.7,4.9,4.4,4.6,4.8,4.0,0,1,0,1,0,1,1,0,0,0
Spacious Historic 3BR/1.5BA Troy Washington Park,Albany,4.98,13047,120,4.9,4.9,5.0,4.9,5.0,5.0,6.0,0,0,0,0,0,0,1,0,1,0
Spacious 2B/2B with Spectacular View!,Albany,5.0,29096,7,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1,1,0,0,0,0,1,0,0,0
Garden Entrance to spacious Ship Themed Apartment,Albany,4.73,7248,99,4.4,4.5,4.9,4.7,4.8,4.8,4.0,0,1,0,0,0,0,1,0,1,0
"Well Lit Modern Room, Perfect Location Albany",Albany,4.61,4660,61,4.7,4.5,4.8,4.7,4.8,4.9,2.0,0,1,0,0,0,0,1,0,1,0
In Albany5Bedroom Great location Immaculate Home,Albany,4.93,28475,71,4.8,4.9,5.0,4.9,5.0,5.0,9.0,1,1,0,1,0,0,1,0,0,0
The White House is just right for you,Albany,4.96,7228,26,5.0,4.9,5.0,4.9,5.0,5.0,3.0,0,1,0,1,0,0,1,0,1,0
Alb hospital area studio bath wifi,Albany,4.81,5177,521,4.9,4.8,4.9,4.9,4.9,5.0,1.0,0,1,0,1,0,0,1,0,0,0
Historic Mansion Top Floor Views Two Bed Suite,Albany,5.0,13875,16,5.0,5.0,5.0,4.9,5.0,4.9,4.0,0,0,1,0,0,0,0,0,1,0
★MODERN 1BR GREAT Location Downtown! W/D Parking!★,Albany,4.78,12212,40,4.6,4.8,4.9,4.8,4.9,4.9,3.0,0,1,0,1,0,0,1,1,1,0
Stunning Hidden Gem - Great For Long Stays,Albany,4.98,17679,55,5.0,5.0,5.0,4.9,5.0,5.0,3.0,0,0,0,0,0,0,1,1,1,0
Solitude in the City - Close to SUNY Albany,Albany,4.69,8291,218,4.9,4.5,4.9,4.7,4.8,5.0,2.0,1,1,0,1,0,0,1,1,0,0
RaW Magical Cabin in the Woods,Albany,4.9,20685,105,4.9,4.8,4.9,4.8,4.9,5.0,4.0,0,1,0,1,0,0,1,1,0,0
Private Apt Queen 1 Bed Sanctuary with many Extras,Albany,4.95,13016,97,5.0,5.0,5.0,4.9,5.0,5.0,3.0,1,1,0,1,0,1,1,0,0,0
"❣️Historic, Spacious & Fun 2BR Apt @Dwtown Albany",Albany,4.77,17931,344,4.7,4.8,4.9,4.8,4.8,4.8,6.0,0,1,0,1,0,0,1,0,1,0
NEWLY RENOVATED 2 Bedroom Townhouse with Gameroom,Albany,4.07,10355,15,4.3,4.7,4.1,4.2,4.1,4.6,5.0,0,1,0,1,0,0,1,0,1,0
Estate-like home in nature preserve. 5 min. to Alb,Albany,4.96,28838,69,5.0,5.0,4.9,4.9,5.0,5.0,7.0,1,1,0,1,0,0,1,0,0,0
Lovely 1 bedroom rental close to Alb Med!,Albany,4.8,8777,10,4.7,5.0,5.0,4.8,4.9,5.0,3.0,0,1,1,0,0,0,1,0,1,0
★ Private 1 bdrm w/ backyard access ★ In-unit W/D,Albany,4.77,12550,13,4.5,4.8,5.0,4.3,4.8,4.8,2.0,0,1,0,1,0,0,1,1,1,0
Quiet Apartment that Feels like Home,Albany,4.99,14807,70,4.8,5.0,5.0,5.0,4.9,5.0,3.0,0,1,0,1,0,0,1,0,1,0
Private bedroom in lovely downtown rental unit,Albany,4.44,4142,9,4.6,4.4,4.4,4.3,4.3,4.4,1.0,0,1,1,0,0,0,1,0,1,0
Modern Luxury & Victorian Charm:  The Bird in Hand,Albany,4.88,10714,407,4.9,4.8,4.9,4.8,4.9,5.0,2.0,0,1,0,0,0,0,1,0,1,0
"The Sara Tracy House, Whitman Room",Albany,4.98,9978,349,4.7,5.0,5.0,5.0,5.0,5.0,2.0,1,1,0,1,0,0,1,1,0,0
Designer 2BED Heart of Center Square,Albany,4.25,9368,4,4.5,4.0,4.5,4.0,4.0,4.8,4.0,1,1,0,1,0,0,1,0,1,0
divertida in city w/free parking on the bus line.,Albany,5.0,5716,4,5.0,4.8,5.0,5.0,5.0,5.0,2.0,0,1,0,1,0,0,1,0,1,0
Newly Renovated- Entire Apartment - 3 Beds,Albany,4.84,19156,80,4.6,5.0,5.0,4.8,4.9,5.0,6.0,1,1,1,0,0,0,1,0,1,0
Clean & Cozy 1,Albany,5.0,7856,12,4.5,5.0,4.9,4.9,4.9,5.0,2.0,0,1,1,0,0,0,1,1,1,0
Empire Plaza View I,Albany,4.38,8801,21,4.8,4.5,4.8,4.4,4.6,4.8,2.0,0,1,0,0,0,0,1,0,1,0
Hospitable room in house with character and nature,Albany,4.79,4660,38,4.9,4.4,5.0,4.9,4.9,4.9,4.0,0,0,0,1,0,0,1,0,1,0
Beautiful 1 bedroom in a quiet residential area.,Albany,4.78,11390,40,4.8,4.9,5.0,4.7,4.9,4.9,2.0,0,1,0,0,0,0,1,0,0,0
"Sophisticated, Chic 2BR in the heart of Albany",Albany,4.79,12805,47,4.8,4.9,4.9,4.7,4.8,5.0,4.0,1,1,1,0,0,1,1,0,0,0
A-Room in a house for professionals close to all.,Albany,4.63,4142,8,4.9,4.0,5.0,4.8,4.2,5.0,2.0,0,1,0,1,0,0,1,0,1,0
King size bed Black & White House free parking,Albany,5.0,7145,7,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1,1,0,1,0,0,1,0,1,0
Serenity in an Albany suburb,Albany,4.94,9295,310,4.9,5.0,5.0,4.9,4.9,5.0,2.0,0,1,0,0,0,0,0,0,1,0
Restored Precinct in Center Sq. w/Parking,Albany,4.75,15532,290,4.8,4.9,4.8,4.8,4.9,4.9,2.0,0,1,0,1,0,0,1,0,0,0
"Newly renovated, 2-bedroom home with free parking",Albany,4.67,12505,6,4.5,4.5,5.0,4.5,4.7,5.0,4.0,0,1,0,1,0,0,1,0,1,0
Professionally Sanitized 2 bedroom Apt Albany NY,Albany,4.4,17706,15,4.2,4.7,4.7,4.3,4.7,4.7,4.0,1,1,0,1,0,0,1,1,0,0
"Cozy, Cool & Comfortable, 1860s Troy 1BR Apartment",Albany,5.0,11390,4,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1,1,0,1,0,0,1,0,1,0
"The Sara Tracy House, Eliot Room",Albany,4.96,7897,228,4.6,5.0,5.0,5.0,5.0,5.0,2.0,1,1,1,0,0,0,1,1,0,0
$47twin bed Free Breakfast No a/c no smoke,Albany,4.83,4867,216,4.5,4.4,5.0,4.9,4.9,5.0,1.0,0,1,1,0,0,0,1,0,0,0
"Quiet cozy apartment, private laundry, great spot!",Albany,4.8,9381,25,4.8,4.8,5.0,4.9,4.8,5.0,3.0,1,1,0,1,0,0,1,0,1,0
NEW Queen Modern Entire Apt with Private Entrance!,Albany,4.99,13185,316,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0,1,0,1,0,0,1,0,0,0
"Victorian on Fifth Ave, Top Floor Apartment",Albany,4.91,20820,22,5.0,5.0,5.0,4.7,5.0,4.9,4.0,0,1,1,0,0,0,1,0,0,0
Sparkling Clean Beautiful 1 Bdrm Apt Downtown Troy,Albany,4.61,8801,23,4.6,4.6,4.7,4.7,4.7,4.7,2.0,0,1,0,1,0,0,1,0,1,0
Secret Cabin in 💛 of Delmar + Fireplaces,Albany,4.92,34232,51,5.0,4.8,5.0,4.9,4.9,5.0,8.0,0,1,0,0,0,0,1,0,1,0
"NEW LISTING! Modern, completely updated, LOCATION!",Albany,4.73,8770,141,4.6,4.8,5.0,4.8,4.8,4.9,4.0,1,1,1,0,0,0,1,0,1,0
Cozy Modern Renovated Stay Top Floor,Albany,5.0,4453,4,4.8,5.0,5.0,5.0,5.0,5.0,2.0,1,1,0,1,0,0,1,0,1,0
"/ New Giant Victorian \ 7beds 6 baths + 2x 85"" TVs",Albany,5.0,44225,6,5.0,4.8,5.0,4.8,5.0,5.0,13.0,0,1,0,1,0,0,1,1,1,0
1890s 4-bedroom River View Home,Albany,4.9,40918,31,4.7,4.9,5.0,4.9,5.0,5.0,8.0,0,1,0,0,0,0,1,0,1,0
Lovely one bedroom with free parking,Albany,4.61,7193,18,4.7,4.3,4.8,4.7,4.7,4.9,3.0,0,1,0,1,0,0,1,0,1,0
"Renovated 3br/2ba, close to Alb Med & St. Petes.",Albany,5.0,15532,6,5.0,4.8,5.0,5.0,5.0,5.0,5.0,0,1,0,1,0,0,1,1,1,0
NEW! Cozy + Walkable Delmar Getaway w/ Fire Pit!,Albany,5.0,19732,5,5.0,5.0,5.0,4.8,5.0,5.0,4.0,1,1,0,1,0,1,1,0,0,0
Beautiful Modern Work Ready 2 Bedroom Home,Albany,4.81,13772,121,4.9,4.9,4.9,4.8,4.8,4.9,4.0,0,1,0,1,0,0,1,0,0,0
NEW! Albany Apartment w/ Deck - Walk to Capitol!,Albany,4.33,21748,3,5.0,4.7,5.0,4.7,4.7,5.0,5.0,1,1,0,1,0,0,1,0,0,0
✍Historic Loft Suite @ Downtown Albany,Albany,4.81,17506,571,4.8,4.8,4.9,4.8,4.9,4.9,4.0,0,1,0,1,0,0,1,0,1,0
Center Sq. Brownstone Luxury w/Wifi 24/7 Parking,Albany,5.0,20709,11,4.8,5.0,4.9,4.8,5.0,4.9,2.0,0,1,0,1,0,0,1,1,1,0
The Blue Room near Albany and Regeneron,Albany,4.6,21244,5,4.8,4.4,4.6,4.8,4.6,5.0,5.0,0,1,0,0,0,0,1,0,1,0
The luxury lounge,Albany,4.97,8180,30,4.8,4.9,5.0,4.9,5.0,5.0,3.0,0,1,0,1,0,0,1,0,1,0
★MODERN 1BR Apt w/ PRIVATE deck! W/D★,Albany,4.76,13043,38,4.7,4.7,4.8,4.7,4.8,4.8,2.0,0,1,0,1,0,0,1,1,1,0
Honeycomb Hideout Close to Albany | ♛King Bed Wifi,Albany,4.91,23029,53,4.9,4.8,4.9,4.9,4.9,5.0,3.0,0,1,0,0,0,0,1,0,1,0
"Cozy home in a great location, pet friendly",Albany,5.0,30184,4,5.0,5.0,5.0,4.8,5.0,5.0,5.0,0,1,0,1,0,0,1,1,1,0
"Riverfront cabin #5 -fall views, bike, hike, kayak",Albany,4.93,20192,28,5.0,4.8,5.0,4.9,4.9,5.0,2.0,0,1,0,0,0,0,1,0,1,0
Niskayuna Nest Two,Albany,5.0,7766,6,4.8,5.0,5.0,4.8,5.0,5.0,2.0,1,1,0,1,0,0,1,0,1,0
✨Historic Full Amenities 2BR Apt @Downtown Albany,Albany,4.69,18207,365,4.7,4.7,4.8,4.7,4.8,4.8,6.0,0,1,0,1,0,0,1,0,1,0
Washington Park Brownstone-Large Luxury Bedroom 1,Albany,4.25,10658,4,4.8,5.0,5.0,4.5,4.5,5.0,2.0,0,1,1,0,0,0,1,0,1,0
Stunning studio in the heart of Troy: Raven's Den,Albany,4.9,10092,241,4.9,4.9,4.9,4.9,5.0,5.0,2.0,0,1,0,0,0,0,1,0,1,0
/Sauna Ranch 1961\ SUNY Eagle Hill 4Beds 1Bath,Albany,4.98,31727,57,5.0,5.0,5.0,4.8,4.9,5.0,6.0,0,1,0,0,0,0,1,0,1,0
"Great place in the heart of Albany, with Parking",Albany,5.0,13564,3,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1,1,0,1,0,0,1,0,1,0
""" The Other House """,Albany,4.71,17603,17,4.3,4.5,4.8,4.7,4.7,4.8,6.0,1,1,0,1,0,0,1,0,1,0
Cozy cottage pet friendly hot tub South of Albany,Albany,4.72,23298,112,4.7,4.8,4.9,4.6,4.7,4.9,4.0,0,1,0,1,0,0,1,0,1,0
B-Room in a house for professionals close to all.,Albany,4.54,4142,13,4.8,4.2,4.5,4.7,4.7,4.8,2.0,0,1,0,1,0,0,1,0,1,0
Super dope Antique house w/low monthly rate.,Albany,4.44,3314,18,4.2,4.2,4.6,4.6,4.4,4.4,1.0,0,0,1,0,0,0,0,1,0,0
Adam's on the Creek East,Albany,4.91,22159,22,4.7,5.0,5.0,4.9,5.0,5.0,6.0,0,0,0,0,0,0,1,0,1,0
"Cozy, Chic & Comfy 1860s Farmhouse Apartment",Albany,4.92,11390,13,4.7,4.8,4.8,4.7,4.8,4.8,2.0,1,1,0,1,0,0,1,0,1,0
Uptown Watervliet,Albany,4.89,16954,18,4.2,4.9,4.9,4.6,4.9,5.0,6.0,0,1,0,1,0,0,1,0,1,0
Lovely Unit with Free Parking on Premises,Albany,5.0,10299,3,5.0,4.7,4.7,5.0,5.0,5.0,2.0,1,1,0,1,0,0,1,0,0,0
Lovely vacation home free st and share parking,Albany,4.97,15939,29,4.7,5.0,5.0,4.9,5.0,5.0,8.0,0,1,0,0,0,0,1,0,0,0
Private oasis 🌴,Albany,4.89,9112,19,4.7,5.0,5.0,4.8,4.9,4.9,3.0,1,1,0,1,0,0,1,0,0,0
"Colorful and eclectic, 2 bedroom apartment !",Albany,5.0,14497,5,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1,1,0,1,0,0,1,0,0,0
Riverfront rustic mansion house,Albany,4.83,13461,58,4.8,4.6,5.0,4.8,4.8,5.0,5.0,0,1,0,0,0,0,1,0,1,0
Upper Union Quiet Charm,Albany,4.86,13409,7,5.0,5.0,5.0,4.9,4.9,5.0,4.0,0,1,0,1,0,0,1,0,1,0
Freshly renovated apartment in an ideal location!,Albany,4.8,16267,5,5.0,4.8,5.0,4.8,4.8,5.0,4.0,0,1,0,1,0,0,1,0,1,0
"Charming Eyebrow Colonial    North Chatham, NY",Albany,4.95,11908,421,4.9,5.0,5.0,4.9,4.9,5.0,2.0,0,1,0,1,0,0,1,0,1,0
NEW! Eclectic Troy Home w/ Hot Tub - Pet Friendly!,Albany,4.77,35499,13,4.8,4.5,4.8,4.5,4.9,4.9,6.0,0,1,0,1,0,0,1,1,0,0
Cozy 2 Bedroom With Modern Set Up,Albany,4.34,10472,32,4.3,4.5,4.8,4.6,4.5,4.7,5.0,1,1,0,1,0,0,1,0,1,0
Adorable cozy loft/full kitchen with parking,Albany,4.92,10355,13,4.9,4.9,5.0,4.8,4.8,5.0,3.0,0,1,0,1,0,0,1,0,0,0
"Victorian on Fifth Ave, second floor.",Albany,5.0,22697,17,5.0,5.0,5.0,4.8,5.0,5.0,6.0,1,1,1,0,0,0,1,0,1,0
Modern-Bohemian quarters - King Bed. Washer/dryer,Albany,4.76,8801,84,4.7,4.8,4.9,4.8,4.7,4.9,4.0,0,1,0,1,0,0,1,0,0,0
Historic Mansion Two Bed Suite Music Hall views,Albany,4.96,26404,25,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0,0,0,0,0,0,1,0,1,0
◆UNIQUE◆ spacious LOFT with photo studio w/d!,Albany,4.56,15432,16,3.9,4.5,4.7,4.5,4.6,4.7,2.0,1,1,0,1,0,0,1,0,1,0
Troy-Elegant Emma Willard Victorian,Albany,4.87,13461,190,4.8,5.0,4.9,4.9,4.9,4.9,6.0,0,0,0,1,0,0,1,0,1,0
"Modern, Luxury & Prime Location 2 Bedroom",Albany,5.0,10762,4,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0,0,0,1,0,0,1,1,1,0
Luxury 2 bedroom apartment,Albany,3.56,7248,11,3.2,3.6,4.6,3.7,3.4,4.2,4.0,0,1,0,0,0,1,1,0,0,0
/Granny’s Gorgeous Getaway\ 1943 SUNY Eagle Hill,Albany,5.0,23298,6,5.0,5.0,5.0,5.0,5.0,5.0,8.0,0,1,0,0,0,0,1,0,1,0
Pine Hills Midcentury 2 bed & Lg Office/Workspace,Albany,4.91,17955,57,4.8,5.0,5.0,4.8,4.9,4.9,4.0,0,1,1,0,0,0,1,1,1,0
"★CHIC, Renovated Brownstone★ in PRIME DT Albany",Albany,4.54,12919,28,4.3,4.9,4.8,4.6,4.8,4.9,2.0,0,1,0,1,0,0,1,1,1,0
Waterfront cottage #8 awesome views 20 min to Toga,Albany,4.7,20192,20,4.9,4.8,5.0,4.8,4.8,5.0,4.0,0,1,0,1,0,0,1,0,0,0
Modern Chic 3 Bedroom Sanctuary,Albany,4.9,7766,21,4.8,4.7,5.0,4.8,4.9,5.0,4.0,0,1,0,1,0,0,1,1,0,0
"Oasis near GE, Knolls, Ellis Hosp, Fastest WiFi!",Albany,4.91,6524,146,4.9,4.9,5.0,5.0,5.0,5.0,1.0,0,0,0,0,0,0,1,0,1,0
Quiet space in lovely setting,Albany,4.68,6109,20,5.0,4.7,4.9,4.8,4.8,5.0,2.0,0,1,0,1,0,0,1,0,1,0
NEW Modern 1 Bedroom Rental Unit! Free Parking!,Albany,4.88,12011,8,4.9,5.0,4.5,4.9,5.0,5.0,2.0,1,1,0,1,0,0,1,0,0,0
Modern furnished 1 bedroom Apt w/Luxury Bathroom,Albany,4.66,8801,29,4.3,4.9,4.9,4.8,4.8,4.9,2.0,0,1,0,1,0,0,1,0,1,0
Stunning 3 Bedroom Second Floor Apartment,Albany,4.75,23381,109,4.4,4.9,4.9,4.6,4.9,5.0,6.0,0,0,1,0,0,0,1,0,1,0
The couples home,Albany,4.9,7145,10,4.9,4.5,5.0,5.0,4.9,4.9,3.0,0,1,0,1,0,0,1,0,1,0
Expansive Upstate Home w/ Pool + Home Theater!,Albany,5.0,86644,17,4.9,5.0,5.0,5.0,5.0,4.9,14.0,1,1,0,1,0,0,1,0,0,0
lovely 3 bedroom apartment with indoor fire place,Albany,4.74,11390,99,4.6,4.7,5.0,4.8,4.9,5.0,8.0,0,0,0,1,0,0,1,0,1,0
Hudson Berkshire Lake Log Cabin,Albany,4.94,19622,33,4.9,4.9,5.0,4.9,4.8,5.0,2.0,0,1,0,1,0,0,1,0,1,0
NEW 1 Bedroom Apt! Free Parking and Walk Downtown!,Albany,5.0,12981,9,4.9,5.0,5.0,5.0,5.0,5.0,4.0,1,1,0,1,0,0,1,0,0,0
Cozy Studio in Niskayuna,Albany,5.0,14134,7,5.0,5.0,4.9,4.9,5.0,5.0,2.0,0,1,0,1,0,0,1,0,1,0
"The Sara Tracy House, Rilke Room",Albany,4.94,8939,137,4.5,5.0,5.0,4.9,5.0,5.0,2.0,1,1,1,0,0,0,1,1,0,0
Cozy 1 bdrm in quiet Eastside Troy,Albany,4.93,5226,67,4.9,5.0,4.9,5.0,5.0,5.0,2.0,0,1,1,0,0,0,1,0,1,0
Tiny Home~2 hrs NYC & BOS~Lakefront~WIFI~Clean,Albany,4.99,33832,105,5.0,4.9,5.0,4.9,5.0,5.0,4.0,0,1,0,0,0,0,1,0,1,0
Sparkling Clean Private Room 4 in Shared House,Albany,4.22,4142,9,4.9,4.3,4.3,4.3,4.3,4.6,1.0,0,1,0,1,0,0,1,0,1,0
Lovely 1 rental unit with a pool,Albany,5.0,10849,5,5.0,4.8,5.0,4.8,5.0,5.0,2.0,1,1,0,1,0,0,1,0,0,0
"NEW! Chic Troy Home Near Downtown, 9 Mi to Albany!",Albany,4.67,28289,3,4.7,5.0,4.7,4.7,5.0,5.0,6.0,1,1,0,1,0,0,1,0,0,0
Entire Beautiful French Victorian 1884,Albany,4.75,60109,53,4.7,4.8,4.8,4.8,4.8,4.9,5.0,0,1,0,1,0,0,1,0,1,0
Lovely 1 bedroom studio in Niskayuna,Albany,5.0,12612,3,5.0,5.0,4.7,5.0,5.0,5.0,2.0,0,1,0,0,0,0,1,0,1,0
Wilderness Adventure Lodge,Albany,5.0,30029,22,5.0,5.0,5.0,4.9,5.0,5.0,6.0,0,1,0,1,0,0,1,0,1,0
Victorian Mansion on Washington Park w/ parking,Albany,4.88,77660,66,4.9,4.9,4.8,4.8,4.8,4.8,10.0,0,1,0,1,0,0,1,0,0,0
Beautiful and modern 1BR Home - D7,new_jersey,4.67,11287,12,5.0,4.7,4.6,4.6,4.7,4.8,3.0,1,1,0,1,0,0,1,0,0,0
Latin Experience,new_jersey,4.96,4825,28,4.8,4.9,5.0,5.0,4.9,5.0,2.0,0,1,0,1,0,0,1,0,1,0
1BR located in Newark Min. to NJPAC/Prudential Ctr,new_jersey,4.93,4349,327,4.6,5.0,5.0,5.0,4.9,4.9,1.0,0,1,1,0,0,0,1,0,0,0
"Large Parlor Unit, Blocks from Montclair Center",new_jersey,4.78,12943,27,5.0,4.7,4.8,4.9,4.8,5.0,4.0,0,1,0,1,0,0,1,0,1,0
"Lovely 1,100 sqft 1-Bedroom apt- 30 mins to NYC",new_jersey,4.81,9547,42,4.9,4.9,5.0,4.8,4.9,5.0,3.0,0,1,0,1,0,0,1,1,1,0
2nd floor Fully Renovated 2 BR 2 BA apt near NYC,new_jersey,5.0,13461,4,4.8,5.0,5.0,5.0,5.0,5.0,6.0,1,1,0,0,0,0,1,0,1,0
Cozy Private Guest Suite close to NWK Airport/NYC,new_jersey,4.88,8077,33,4.9,4.8,4.9,4.8,4.8,4.9,2.0,1,1,0,1,0,0,0,0,1,0
Lovingly renovated 1908 Colonial w SHARED BATHROOM,new_jersey,4.82,5074,95,4.9,4.9,4.8,4.8,4.9,4.9,2.0,1,1,0,1,0,0,1,0,0,0
Decorated Victorian blocks from Train,new_jersey,4.73,29059,11,5.0,4.7,5.0,4.9,4.8,4.9,6.0,0,1,0,1,0,0,1,0,1,0
Loft Penthouse Retreat close to NYC,new_jersey,4.9,8491,42,4.9,4.9,5.0,4.9,5.0,5.0,2.0,0,1,0,1,0,0,1,0,0,0
cozy private bedroom #2.00,new_jersey,5.0,3331,9,4.7,4.8,4.9,4.9,4.9,4.9,2.0,0,1,0,0,0,0,0,1,1,0
The Store,new_jersey,4.75,5709,72,4.8,4.7,4.8,4.8,4.8,4.9,2.0,1,1,0,0,0,1,0,0,1,0
Twin-Quiet room near EWR airport & KEAN University,new_jersey,5.0,3417,21,5.0,5.0,5.0,5.0,5.0,5.0,2.0,0,1,1,0,0,0,1,0,1,0
"Sunny room, excellent location, great price.",new_jersey,4.47,4660,60,4.7,4.2,4.8,4.6,4.6,4.9,1.0,1,1,0,1,0,0,1,0,1,0
Kozy korner is 2bedroom/ 1 bath ground level apt,new_jersey,4.8,6938,5,4.6,5.0,5.0,4.8,5.0,4.8,1.0,0,1,0,1,0,0,1,0,0,0
Cozy Pool Cottage,new_jersey,4.85,16464,164,4.9,4.9,5.0,4.8,4.9,5.0,6.0,0,1,0,0,0,0,1,0,0,0
Luxurious Downtown Newark Pad/ Easy Access to NYC,new_jersey,4.92,14869,13,4.6,4.9,5.0,4.9,5.0,5.0,3.0,0,1,0,0,0,0,1,0,1,0
"Charming private apt close to city, hosp & more",new_jersey,4.97,9261,124,4.8,5.0,5.0,5.0,5.0,5.0,3.0,0,1,1,0,0,0,1,0,1,0
Cheerful bedroom w/ private bath in townhouse,new_jersey,4.93,6192,72,4.9,5.0,5.0,4.9,5.0,4.9,2.0,0,0,0,1,0,0,1,0,0,0
Beautifully convenient stay!,new_jersey,5.0,6524,3,4.7,5.0,5.0,4.7,5.0,5.0,2.0,1,1,0,1,0,0,1,0,1,0
"Jersey gem! 30 to NYC, comfy, quiet, private apt",new_jersey,4.92,10420,59,4.9,4.8,4.9,4.8,4.9,4.9,6.0,0,1,0,1,0,0,1,1,1,0
Studio Sized Home w/easy access to NYC trains,new_jersey,4.71,6731,48,4.5,4.8,4.8,4.7,4.8,4.9,1.0,0,1,1,0,0,1,1,0,0,0
Apartment in Montclair center - w/ Parking!!,new_jersey,4.82,12943,11,5.0,4.9,5.0,4.7,4.9,4.9,2.0,0,0,0,1,0,0,1,0,1,0
Quaint Home Newly Renovated Artistic Apt near NYC,new_jersey,4.78,6140,73,4.7,4.8,4.9,4.8,4.8,5.0,2.0,1,1,0,1,0,0,1,0,0,0
Your entire home-close to food/NY train/bus,new_jersey,4.89,14497,247,4.8,4.9,4.9,4.8,4.9,5.0,4.0,1,1,0,1,0,0,1,0,1,0
"Modern, Newly Renovated Single Family Home",new_jersey,4.7,16512,33,4.6,4.7,4.9,4.5,4.5,4.8,7.0,0,1,0,0,0,1,1,0,0,0
Victorian Home Large Apt by NYC,new_jersey,4.81,6731,163,4.6,4.9,4.9,4.9,4.9,4.9,2.0,0,1,1,0,0,0,1,0,1,0
Cheerful 1-bedroom home with free parking.,new_jersey,5.0,3624,14,4.4,4.9,5.0,4.9,5.0,5.0,2.0,0,1,0,1,0,0,1,0,1,0
Cozy Cabin Style Apt In Montclair City Center,new_jersey,4.98,11438,530,5.0,5.0,5.0,4.9,5.0,5.0,2.0,0,1,0,1,0,1,0,0,1,0
